obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,D. mer,unb,,01:31:00,0,0,0,0,0,,0,,Unknown,Dunb,Nelly,06/06/2007,,AM
,D. mer,unb,,01:43:00,1,0,0,0,0,,1,,Unknown,Dunb,Nelly,06/06/2007,,AM
,D. mer,unb,,01:10:00,0,0,0,0,0,,0,,Unknown,Dunb,Nelly,06/06/2007,,AM
,D. mer,unb,,01:13:00,2,1,0,0,0,by a kid Phleg,1,,Unknown,Dunb,Nelly,06/06/2007,,AM
,D. mer,unb,,01:18:00,1,0,0,0,0,,1,AZS,Unknown,Dunb,Chris,06/06/2007,,AM
,D. mer,unb,,02:58:00,3,1,0,0,1,(r-inter) by a picumnus,2,LC,Unknown,Dunb,Judy,06/06/2007,,PM
,D. mer,unb,,02:07:00,0,0,1,0,0,,0,LC,Unknown,Dunb,Judy,06/06/2007,,PM
,D. mer,unb,,01:46:00,0,1,0,0,0,by a D.picumnus,0,LC,Unknown,Dunb,Judy,06/06/2007,,PM
,D. mer,unb,,03:09:00,1,0,0,0,0,,1,LS,Unknown,Dunb,Eliana ,06/07/2007,,AM
,D. mer,unb,,01:03:00,4,0,0,0,0,"foraging in the ground, not in a tree",4,LS,Unknown,Dunb,Eliana,06/07/2007,,AM
,D. mer,yp-s,,01:15:00,0,0,1,0,1,,0,LS,Unknown,Dyp-s,Eliana,06/07/2007,,AM
,D. mer,s-yw,,01:24:00,1,1,0,0,0,by a Phleg,0,LS,Unknown,Ds-yw,Chris,06/06/2007,,AM
,D. mer,s-yw,,02:26:00,4,0,0,0,0,,2,LS,Unknown,Ds-yw,Chris,06/06/2007,,AM
,D. mer,s-yw,,02:04:00,0,0,0,0,0,,0,LS,Unknown,Ds-yw,Chris,06/06/2007,,AM
,Rheg,unb,,01:27:00,4,0,0,0,1,,2,,Male,Runb,Judy,05/23/2007,,
,Rheg,unb,,02:54:00,3,0,0,0,0,,2,,Male,Runb,Judy,05/23/2007,,
,Rheg,yp-s,,01:21:00,5,0,0,1,1,,3,,Female,Ryp-s,Judy,05/23/2007,,
,Rheg,unb,,01:00:00,2,0,2,0,0,,1,,Female,Runb,Judy,05/23/2007,,
,Rheg,yp-s,,01:50:00,2,0,0,0,0,,2,,Female,Ryp-s,Judy,05/23/2007,,
,Rheg,unb,,02:00:00,6,0,0,0,0,const. eating,4,,Male,Runb,Judy,05/22/2007,,
,Rheg,unb,,02:29:00,2,0,0,0,0,,1,,Male,Runb,Gayatri,05/25/2007,,
,Rheg,unb,,02:52:00,4,0,0,0,0,,4,,Male,Runb,Gayatri,05/25/2007,,
,Rheg,unb,,04:11:00,19,0,0,0,0,,8,,Male,Runb,Gayatri,05/23/2007,,
,Rheg,unb,,01:57:00,1,0,1,0,0,,0,,Male,Runb,Gayatri,05/23/2007,,
,Rheg,unb,,02:06:00,6,0,0,0,0,,2,,Male,Runb,Gayatri,05/23/2007,,
,Rheg,unb,,01:25:00,5,0,0,0,0,,1,,Male,Runb,Gayatri,05/23/2007,,
,Rheg,unb,,01:45:00,3,0,0,0,0,,2,SKW,Male,Runb,Judy,05/28/2007,,AM
,Rheg,unb,,03:30:00,3,0,0,0,0,,1,SKW,Male,Runb,Judy,05/28/2007,,AM
,Rheg,unb,,02:13:00,1,0,0,0,0,,0,SKW,Female,Runb,Judy,05/28/2007,,AM
,Rheg,yp-s,,06:15:00,9,0,0,0,1,,3,LC,Female,Ryp-s,Judy,05/23/2007,,AM
,Rheg,unb,,08:59:00,14,0,0,0,0,,7,LC,Male,Runb,Judy,05/28/2007,,AM
,Rheg,unb,,06:15:00,7,0,0,0,1,,2,LC,Male,Runb,Judy,05/28/2007,,AM
,Rheg,unb,,02:41:00,1,0,0,0,0,,1,,Female,Runb,Judy,05/28/2007,,PM
,Rheg,??,,02:35:00,3,0,0,0,0,,2,,Female,R??,Judy,05/28/2007,,PM
,Rheg,unb,,01:07:00,1,0,0,0,0,,1,,Male,Runb,Kathy,05/25/2007,,AM
,Rheg,unb,,02:14:00,3,0,0,0,0,,2,,Male,Runb,Kathy,05/25/2007,,AM
,Rheg,unb,,01:18:00,1,1,0,0,0,,1,,Male,Runb,Kathy,05/25/2007,,AM
,Rheg,unb,,01:20:00,2,0,1,0,0,by a female Rheg,2,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:36:00,1,0,10,0,0,by a female Rheg,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,03:17:00,1,0,0,0,0,,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:51:00,6,0,0,0,0,,3,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:28:00,1,0,1,0,0,by a female Rheg,1,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:08:00,2,0,0,0,0,,2,,Male,Runb,Labbie,,,AM
,Rheg,unb,,01:25:00,1,0,0,0,0,,1,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:36:00,0,0,0,0,0,,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:15:00,2,0,0,0,0,,1,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:30:00,2,0,0,0,0,,2,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:22:00,6,0,0,0,0,,2,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:20:00,4,1,0,0,0,,1,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:58:00,5,0,0,0,0,,0,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:40:00,1,0,0,0,0,,1,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:06:00,1,0,0,0,0,,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,03:52:00,3,0,0,0,0,,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:48:00,2,0,0,0,0,,1,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:36:00,0,0,0,0,0,,0,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,03:30:00,4,0,0,0,0,,1,,Female,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:35:00,5,0,1,0,0,,4,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,02:14:00,5,0,0,0,0,,3,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,01:11:00,1,0,0,0,0,,1,,Male,Runb,Labbie,05/31/2007,,AM
,Rheg,unb,,03:32:00,5,0,0,0,0,,5,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,01:05:00,3,0,1,0,1,,2,,Female,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,02:23:00,4,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,05:02:00,5,0,0,0,0,,0,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,01:12:00,3,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,01:08:00,1,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,01:44:00,1,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,03:38:00,6,2,0,0,0,by a Phleg and Psophia,4,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,04:12:00,3,4,0,0,0,by Psophia,0,,Male,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,02:23:00,1,2,0,0,0,by Psophia,1,,Female,Runb,Kathy,06/01/2007,,AM
,Rheg,unb,,02:11:00,4,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,PM
,Rheg,unb,,01:53:00,3,0,0,0,0,,3,,Male,Runb,Kathy,06/01/2007,,PM
,Rheg,unb,,01:05:00,1,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,PM
,Rheg,unb,,01:43:00,0,0,0,0,0,,0,,Male,Runb,Kathy,06/01/2007,,PM
,Rheg,unb,,02:01:00,1,0,0,0,0,,1,,Male,Runb,Kathy,06/01/2007,,PM
,Rheg,unb,,01:33:00,0,0,0,0,0,,0,,Male,Runb,Judy,06/02/2007,,AM
,Rheg,unb,,03:57:00,2,0,0,0,0,,2,,Male,Runb,Judy,06/02/2007,,AM
,Rheg,unb,,06:00:00,3,0,0,0,0,,1,,Male,Runb,Judy,06/02/2007,,AM
,Rheg,yp-s,,02:28:00,1,0,0,0,0,,1,,Female,Ryp-s,Judy,06/02/2007,,AM
,Rheg,yp-s,,01:20:00,2,0,0,0,1,male Rheg,0,,Female,Ryp-s,Judy,06/02/2007,,AM
,Rheg,yp-s,,02:06:00,1,0,0,0,0,,1,,Female,Ryp-s,Judy,06/02/2007,,AM
,Rheg,unb,,01:58:00,1,0,0,0,0,,1,,Male,Runb,Judy,06/02/2007,,AM
,Rheg,unb,,02:26:00,2,0,0,0,0,,1,,Female,Runb,Judy,06/02/2007,,AM
,Rheg,unb,,01:51:00,3,0,0,0,0,,2,,Male,Runb,Kathy,06/04/2007,,AM
,Rheg,unb,,04:05:00,9,0,0,0,1,,5,,Female,Runb,Kathy,06/04/2007,,AM
,Rheg,unb,,03:10:00,2,0,0,0,0,,0,,Female,Runb,Kathy,06/04/2007,,AM
