obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,Phleg,unb,,1:01:00,0,0,0,0,0,,0,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,1:58:00,2,0,0,0,0,,1,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,0:48:00,2,0,0,0,0,,1,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,0:54:00,1,0,0,0,0,,1,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,1:23:00,3,0,0,0,0,,2,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,0:52:00,2,0,0,0,1,,2,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,2:31:00,6,0,1,0,0,,3,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unk,,1:09:00,0,0,0,0,0,,0,,Unknown,Punk,Norma-Jean,6/19/07,,AM
,Phleg,wp-s,,1:25:00,3,0,0,0,0,,1,,Unknown,Pwp-s,Chris,6/20/07,,AM
,Phleg,y-sr,,2:29:00,1,0,0,0,0,,1,,Male,Py-sr,Chris,6/20/07,,AM
,Phleg,unb,,1:28:00,1,0,0,0,0,,0,,Unknown,Punb,Chris,6/20/07,,AM
,Phleg,unb,,1:43:00,2,0,0,0,0,,2,,Unknown,Punb,Chris,6/20/07,,AM
,Phleg,unb,,1:12:00,0,0,0,0,0,,0,,Unknown,Punb,Kathy,6/21/07,,AM
,Phleg,b-gs,,1:47:00,1,0,0,0,0,,1,,,Pb-gs,Rani,6/21/07,,AM
,Phleg,pp-s,,1:33:00,2,1,0,0,0,,0,,Unknown,Ppp-s,Chris,6/22/07,,PM
,Phleg,rs-p,,1:25:00,0,0,0,0,0,juvie,0,,,Prs-p,Chris,6/22/07,,PM
,Phleg,unb,,1:27:00,0,1,0,0,0,woodcreeper,0,,Unknown,Punb,Chris,6/22/07,,PM
,Phleg,unb,,1:08:00,0,0,0,0,0,,0,,Unknown,Punb,Chris,6/22/07,,PM
,Phleg,unb,,1:13:00,0,0,0,0,0,,0,,Unknown,Punb,Chris,6/22/07,,PM
,Phleg,r-gs,,1:02:00,1,0,0,0,0,,1,,,Pr-gs,Chris,6/22/07,,PM
,Phleg,r-gs,,1:37:00,1,0,0,0,0,,1,,,Pr-gs,Chris,6/22/07,,PM
,Phleg,unk,,4:45:00,0,0,0,0,0,,0,,Unknown,Punk,Chris,6/22/07,,PM
