obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
010109Edw,D. mer,unb,840:00:00,01:30:00,5,0,0,0,0,,4,DRH,Unknown,Dunb
010109Edw,D. mer,r-sg,910:00:00,04:00:00,2,0,0,0,0,,1,DRH,Unknown,Dr-sg
010110Lab,G. sal,bw-s,748:00:00,04:00:00,0,0,0,0,0,preening,0,DRH,Female,Gbw-s
010110Lab,M. fort,g-sy,849:00:00,03:00:00,1,0,0,0,0,only bird,0,DRH,Female,Mg-sy
010111Edw,G. sal,unb,917:00:00,01:15:00,1,0,0,0,0,,0,CETP,Female,Gunb
010111Edw,D. mer,r-sg,920:00:00,02:30:00,1,1,,0,0,Phleg s-gw,0,CETP,Unknown,Dr-sg
010111Edw,Phleg,s-gw,940:00:00,04:40:00,3,0,0,0,0,,1,CETP,Unknown,Ps-gw
010104Nod,D. mer,unb,910:00:00,04:00:00,0,0,0,0,0,,0,SKW,Unknown,Dunb
010104Nod,D. mer,WP-S,913:00:00,01:30:00,0,0,0,0,0,,0,SKW,Female,DWP-S
010104Gna,G. sal,s-pp,1121:00:00,01:20:00,1,0,0,0,0,,1,SKW,Female,Gs-pp
010106Let,Phleg,fs-fg,1133:00:00,04:00:00,0,0,0,0,0,preening,0,SKW,Male,Pfs-fg
010108Gna,D. mer,r-sg,939:00:00,04:00:00,1,0,0,0,0,,0,SKW,Unknown,Dr-sg
010109Let,G. sal,go-s,1005:00:00,02:10:00,2,0,0,0,0,only bird,2,SH,Male,Ggo-s
010109Let,Phleg,s-pg,1020:00:00,04:00:00,1,0,0,0,0,,1,SKW,Male,Ps-pg
010109Izu,Rheg,gp-s,1143:00:00,01:30:00,1,0,0,0,0,,1,SKW,Female,Rgp-s
010111Let,D. mer,rg-s,945:00:00,04:00:00,2,0,0,0,0,fed both to p-sp kid,2,SKW,Female,Drg-s
010112Edw,D. mer,unb,721:00:00,01:45:00,0,0,0,0,0,,0,CETP,Unknown,Dunb
010112Edw,G. sal,y-sg,801:00:00,02:30:00,0,0,0,0,0,,0,CETP,Male,Gy-sg
