,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
673,070524KathyAM,G. sal,0:00:01,1,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
674,070524KathyAM,G. sal,0:00:01,1,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
675,070524KathyAM,G. sal,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
676,070524KathyAM,G. sal,0:00:02,2,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
677,070524KathyAM,G. sal,0:00:02,2,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
678,070528JudyPM,G. sal,0:00:02,2,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
679,070528JudyPM,G. sal,0:00:02,2,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
680,070528JudyPM,G. sal,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
681,070529NellyAM,G. sal,0:00:02,2,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
682,070529NellyAM,G. sal,0:00:04,4,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
683,070604KathyAM,G. sal,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
684,070604KathyAM,G. sal,0:00:04,4,0,1,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE
685,070602JudyAM,G. sal,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
686,070604KathyAM,G. sal,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
687,070604KathyAM,G. sal,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
688,070606NellyAM,G. sal,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
689,070606NellyAM,G. sal,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
690,070606ChrisAM,G. sal,0:00:01,1,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
691,070607ElianaAM,G. sal,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
692,070607ElianaAM,G. sal,0:00:01,1,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
693,070607ElianaAM,G. sal,0:00:01,1,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
694,070607ElianaAM,G. sal,0:00:01,1,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
695,070607ElianaAM,G. sal,0:00:01,1,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
696,070607ElianaAM,G. sal,0:00:00,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
697,070607ElianaAM,G. sal,0:00:03,3,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
698,070609ElianaAM,G. sal,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
699,070609ElianaAM,G. sal,0:00:01,1,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
