"","X","obsid","species","duration","duration_minutes","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"1082",1083,"070622ChrisPM","Rheg","3:09:00",3.15,189,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"1083",1084,"070622ChrisPM","Rheg","1:46:00",1.76666666666667,106,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1084",1085,"070622ChrisPM","Rheg","1:59:00",1.98333333333333,119,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"1085",1086,"070622RaniAM","G. sal","0:54:00",0.9,54,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"1086",1087,"070622RaniAM","G. sal","2:14:00",2.23333333333333,134,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1087",1088,"070622RaniAM","G. sal","0:43:00",0.716666666666667,43,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1088",1089,"070622ChrisPM","G. sal","1:03:00",1.05,63,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1089",1090,"070622ChrisPM","G. sal","1:56:00",1.93333333333333,116,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1090",1091,"070622ChrisPM","G. sal","1:54:00",1.9,114,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1091",1092,"070622ChrisPM","G. sal","1:01:00",1.01666666666667,61,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1092",1093,"070622ChrisPM","G. sal","1:14:00",1.23333333333333,74,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"1093",1094,"070622ChrisPM","G. sal","1:45:00",1.75,105,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1094",1095,"070614RaniAM","Phleg","1:34:00",1.56666666666667,94,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1095",1096,"070614RaniAM","Phleg","1:05:00",1.08333333333333,65,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
