"","obsid","species","duration","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"635","070526KathyAM","Phleg","1:02:00",62,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"636","070531KathyAM","Phleg","3:47:00",227,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"637","070531KathyAM","Phleg","3:35:00",215,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"638","070601KathyAM","Phleg","1:05:00",65,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"639","070601KathyAM","Phleg","1:54:00",114,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"640","070601KathyAM","Phleg","1:42:00",102,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"641","070601KathyAM","Phleg","2:12:00",132,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"642","070604KathyAM","Phleg","2:06:00",126,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"643","070604KathyAM","Phleg","1:50:00",110,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"644","070604KathyAM","Phleg","1:33:00",93,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"645","070604KathyAM","Phleg","1:00:00",60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"646","070604KathyAM","Phleg","1:11:00",71,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"647","070604KathyAM","Phleg","1:02:00",62,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"648","070604KathyAM","Phleg","1:00:00",60,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"649","070604KathyAM","Phleg","1:20:00",80,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"650","070604KathyAM","Phleg","1:19:00",79,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"651","070604KathyAM","Phleg","1:22:00",82,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"652","070604KathyAM","Phleg","1:20:00",80,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"653","070604KathyAM","Phleg","1:32:00",92,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"654","070604KathyAM","Phleg","1:35:00",95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"655","070604KathyAM","Phleg","4:35:00",275,6,0,0,0,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
"656","070604KathyAM","Phleg","4:40:00",280,3,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
"657","070604KathyAM","Phleg","3:23:00",203,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"658","070604KathyAM","Phleg","1:36:00",96,1,0,2,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
"659","070604KathyAM","Phleg","1:38:00",98,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"660","070604KathyPM","Phleg","1:21:00",81,3,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"661","070604KathyPM","Phleg","1:30:00",90,3,0,1,1,0,1,FALSE,TRUE,TRUE,FALSE,TRUE
"662","070604KathyPM","Phleg","1:09:00",69,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"663","070604KathyPM","Phleg","3:21:00",201,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"664","070604KathyPM","Phleg","2:03:00",123,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"665","070604KathyPM","Phleg","1:06:00",66,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"666","070604KathyPM","Phleg","2:00:00",120,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"667","070604KathyPM","Phleg","1:06:00",66,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
"668","070606NellyAM","Phleg","1:03:00",63,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"669","070606NellyAM","Phleg","0:52:00",52,4,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"670","070606NellyAM","Phleg","1:41:00",101,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"671","070606ChrisAM","Phleg","1:55:00",115,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"672","070606ChrisAM","Phleg","1:15:00",75,2,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"673","070606ChrisAM","Phleg","1:49:00",109,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"674","070606ChrisAM","Phleg","2:25:00",145,3,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
"675","070606ChrisAM","Phleg","2:32:00",152,3,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
"676","070606ChrisAM","Phleg","4:01:00",241,3,0,0,0,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
"677","070606ChrisAM","Phleg","1:42:00",102,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"678","070606ChrisAM","Phleg","1:04:00",64,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"679","070606ChrisAM","Phleg","1:06:00",66,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"680","070606ChrisAM","Phleg","1:28:00",88,1,0,0,2,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"681","070606ChrisAM","Phleg","2:11:00",131,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"682","070606ChrisAM","Phleg","1:17:00",77,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"683","070606ChrisAM","Phleg","1:05:00",65,0,0,1,2,0,0,FALSE,TRUE,TRUE,FALSE,FALSE
"684","070606ChrisAM","Phleg","2:06:00",126,4,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"685","070606ChrisAM","Phleg","2:22:00",142,3,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"686","070606ChrisAM","Phleg","2:01:00",121,4,0,0,2,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"687","070606ChrisAM","Phleg","3:10:00",190,3,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"688","070606ChrisAM","Phleg","3:55:00",235,2,0,0,0,2,2,FALSE,FALSE,FALSE,TRUE,TRUE
"689","070606ChrisAM","Phleg","2:25:00",145,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"690","070606ChrisAM","Phleg","1:02:00",62,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"691","070606ChrisAM","Phleg","2:15:00",135,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"692","070606ChrisAM","Phleg","2:28:00",148,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"693","070609KathyAM","Phleg","1:36:00",96,2,0,0,1,0,2,FALSE,FALSE,TRUE,FALSE,TRUE
"694","070609KathyAM","Phleg","1:16:00",76,0,0,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"695","070609KathyAM","Phleg","1:49:00",109,1,0,0,3,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"696","070609KathyAM","Phleg","1:16:00",76,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"697","070609KathyAM","Phleg","2:37:00",157,2,0,1,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE
"698","070611KathyAM","Phleg","2:00:00",120,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"699","070611KathyAM","Phleg","1:05:00",65,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"700","070611KathyAM","Phleg","4:14:00",254,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"701","070611KathyAM","Phleg","1:25:00",85,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"702","070611KathyAM","Phleg","2:07:00",127,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"703","070611KathyAM","Phleg","2:41:00",161,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"704","070611KathyAM","Phleg","1:16:00",76,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"705","070611ChrisAM","Phleg","1:50:00",110,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"706","070609KathyAM","Phleg","1:07:00",67,1,0,0,2,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"707","070609KathyAM","Phleg","2:26:00",146,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"708","070611KathyAM","Phleg","1:44:00",104,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"709","070611KathyAM","Phleg","2:45:00",165,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
